"Date","Android","iOS","Series 40","Unknown","SymbianOS","Samsung","Nokia Unknown","Windows","BlackBerry OS","Linux","KaiOS","Sony Ericsson","Tizen","bada","LG","Firefox OS","MeeGo","Other"
2012,20.4,8.52,17.6,6.9,29.84,11.32,0,0.68,1.31,0.1,0,1.91,0,1.09,0.08,0,0.03,0.22
2013,38.67,9.34,21.12,6.19,11.11,8.11,0.21,1.12,1.12,1.34,0,0.85,0,0.5,0.19,0,0.02,0.11
2014,55.44,10.61,12.93,5.32,4.76,5.02,1.23,1.94,1.08,0.79,0,0.39,0,0.26,0.19,0,0.01,0.04
2015,68.36,11.38,5.43,4.7,1.76,1.68,3.24,1.76,0.95,0.26,0,0.15,0.07,0.09,0.09,0,0.06,0.03
2016,73.57,11.83,2.26,5.05,0.72,0.95,3.15,1.27,0.49,0.27,0,0.09,0.19,0.04,0.06,0,0.06,0.01
2017,78.54,11.67,0.75,5.13,0.27,0.48,1.64,0.65,0.24,0.07,0,0.03,0.34,0.01,0.04,0.11,0.03,0.01
2018,83.17,11.6,0.37,2.6,0.15,0.35,0.29,0.34,0.09,0.05,0.52,0.01,0.23,0.01,0.02,0.2,0.01,0.01
2019,84.38,13.17,0.13,0.23,0.05,0.25,0.15,0.15,0.02,0.03,1.32,0,0.11,0,0,0,0,0
2020,83.28,15.91,0.03,0.1,0.01,0.24,0.04,0.04,0.01,0.01,0.31,0,0.03,0,0,0,0,0
2021,82.79,16.35,0.02,0.09,0,0.38,0.03,0.01,0,0.01,0.3,0,0.01,0,0,0,0,0
2022,82.13,17.21,0.01,0.06,0,0.37,0.02,0,0,0,0.19,0,0,0,0,0,0,0
2023,79.81,19.47,0.01,0.06,0,0.39,0.01,0.01,0,0.01,0.23,0,0,0,0,0,0,0
2024,80.03,19.28,0,0.07,0,0.41,0.01,0.01,0,0.01,0.17,0,0,0,0,0,0,0
