"Date","iOS","Android","Unknown","Windows","Samsung","Series 40","SymbianOS","BlackBerry OS","Nokia Unknown","Linux","Playstation","Nintendo 3DS","Sony Ericsson","LG","Other"
2012,68.23,26.04,1.08,0.88,0.22,0.57,1.84,0.27,0,0.09,0.13,0.19,0.14,0,0.32
2013,62.87,32.09,1.24,1.46,0.2,0.97,0.44,0.19,0.01,0.08,0.07,0.1,0.05,0.05,0.18
2014,55.51,40.39,1.01,1.71,0.15,0.63,0.14,0.16,0.04,0.06,0.06,0.02,0.02,0.03,0.06
2015,54.31,42,0.81,1.91,0.1,0.19,0.12,0.19,0.18,0.06,0.04,0.02,0.01,0.03,0.03
2016,54.52,42.23,1.11,1.26,0.19,0.11,0.05,0.1,0.27,0.1,0.03,0.01,0,0.01,0.01
2017,52.85,43.07,2.54,0.57,0.15,0.44,0.06,0.04,0.2,0.04,0.02,0.01,0,0.01,0.01
2018,54.17,44.42,0.71,0.27,0.2,0.1,0.04,0.02,0.02,0.01,0.01,0,0,0,0.01
2019,53.42,46.1,0.06,0.15,0.24,0.01,0,0.01,0,0.01,0,0,0,0,0
2020,50.84,48.81,0.03,0.04,0.25,0,0,0.01,0,0,0,0,0,0,0
2021,52.82,45.92,0.02,0.02,1.2,0,0,0,0,0,0,0,0,0,0.01
2022,53.06,45.63,0.01,0.05,1.23,0,0,0,0,0,0,0,0,0,0.01
2023,56.56,42.46,0.01,0.06,0.88,0,0,0.01,0,0.01,0,0,0,0,0.01
2024,52.41,46.7,0.01,0.05,0.79,0,0.01,0.01,0,0,0,0,0,0,0.01
