Date,Android,iOS,Unknown,Series 40,BlackBerry OS,SymbianOS,Windows,Nokia Unknown,Linux,Samsung,LG,Sony Ericsson,Tizen,bada,Firefox OS,KaiOS,Playstation,Other
2012,9.44,4.74,10.26,21.86,1.78,43.86,0.83,0,0.08,4.72,0.17,1.69,0,0.29,0,0,0.04,0.21
2013,20.34,4.47,12.99,32.26,9.44,12.59,0.94,0.18,0.22,4.25,0.8,1.18,0,0.22,0,0,0.02,0.09
2014,40.69,5.24,10.05,23.07,8.07,5.48,2.09,0.94,0.3,2.7,0.63,0.54,0,0.15,0,0,0.03,0.04
2015,62.62,3.99,6.96,10.47,4.89,2,2.26,2.75,2.47,1.03,0.29,0.15,0,0.07,0.03,0,0.02,0.02
2016,73.17,3.36,6.14,4.99,3.06,0.92,2.38,2.39,2.59,0.58,0.19,0.08,0.03,0.04,0.07,0,0.02,0.01
2017,72.93,5.37,11.61,3,1.6,0.58,1.67,1.55,0.53,0.37,0.2,0.11,0.4,0.02,0.05,0,0.01,0
2018,79.01,7.22,8.44,1.48,0.56,0.32,0.99,0.63,0.39,0.2,0.11,0.14,0.48,0.01,0.02,0,0.01,0
2019,82.4,11.72,3.39,0.64,0.19,0.15,0.46,0.27,0.28,0.13,0.04,0.05,0.24,0,0.01,0.02,0.01,0
2020,85.93,11.7,1.54,0.17,0.05,0.03,0.12,0.09,0.14,0.09,0.01,0,0.1,0,0,0.02,0,0
2021,82.07,15.83,1.55,0.09,0.02,0.01,0.02,0.05,0.12,0.16,0,0,0.05,0,0,0.03,0,0
2022,84.02,13.9,1.62,0.06,0.01,0.01,0.02,0.04,0.06,0.19,0,0,0.03,0,0,0.03,0,0
2023,83.88,13.79,1.88,0.05,0.01,0.01,0.01,0.03,0.04,0.16,0,0,0.02,0,0,0.1,0,0
2024,85.98,12.32,1.39,0.03,0,0,0.01,0.02,0.03,0.13,0,0,0.01,0,0,0.08,0,0
