"Date","iOS","Android","BlackBerry OS","Windows","Series 40","Unknown","Samsung","SymbianOS","Playstation","Nintendo 3DS","Linux","Nokia Unknown","LG","Sony Ericsson","Nintendo","Brew","Other"
2012,48.19,38.61,5.13,1.12,1.75,1.43,0.75,1.56,0.4,0.4,0.06,0,0.01,0.19,0.15,0.07,0.19
2013,50.91,39.25,3.96,1.67,1.39,0.88,0.5,0.52,0.16,0.25,0.1,0.01,0.09,0.08,0.1,0.07,0.05
2014,49.44,44.66,1.73,1.91,0.89,0.44,0.26,0.21,0.12,0.05,0.07,0.04,0.08,0.02,0.03,0.03,0.01
2015,46.47,49.85,0.77,1.86,0.31,0.24,0.05,0.07,0.09,0.04,0.06,0.1,0.05,0.01,0.01,0.02,0.02
2016,47.04,50.36,0.68,1.14,0.12,0.26,0.08,0.03,0.06,0.02,0.06,0.1,0.02,0,0,0.01,0.01
2017,48.48,50.19,0.26,0.47,0.05,0.24,0.15,0.01,0.04,0.02,0.02,0.04,0.02,0,0,0.01,0.01
2018,49.76,49.59,0.08,0.21,0.02,0.15,0.09,0.01,0.03,0.01,0.02,0.01,0.01,0,0,0.01,0.01
2019,50.17,49.5,0.04,0.1,0.01,0.03,0.09,0,0.01,0.01,0.01,0,0,0,0,0.01,0.01
2020,53.59,46.19,0.02,0.03,0,0.02,0.12,0,0.01,0,0.01,0,0,0,0,0,0.01
2021,54.33,45.33,0.01,0.01,0,0.01,0.28,0,0.01,0,0,0,0,0,0,0,0.01
2022,53.62,46.04,0,0.02,0,0.01,0.28,0,0,0,0,0,0,0,0,0,0.01
2023,55.39,44.16,0,0.07,0,0.03,0.29,0.02,0,0,0.02,0,0,0,0,0,0.01
2024,54.95,44.75,0,0.03,0,0.01,0.23,0.01,0,0,0.01,0,0,0,0,0,0.01
